source,expected_destination,actual_status,actual_location,final_status,hops,final_url,destination_indexable,passed,raison
/fr/logiciel-courtier-santé,/fr/logiciel-courtier-sante,308,/fr/logiciel-courtier-sante,200,2,/crm-courtier-assurance,oui,non,chaine de redirections
/fr/logiciel-courtier-sant%C3%A9,/fr/logiciel-courtier-sante,308,/fr/logiciel-courtier-sante,200,2,/crm-courtier-assurance,oui,non,chaine de redirections
/crm-assurance,/crm-courtier-assurance,308,/crm-courtier-assurance,200,1,/crm-courtier-assurance,oui,oui,
/gestion-portefeuille-assurance,/fonctionnalites/gestion-portefeuille-assurance,308,/fonctionnalites/gestion-portefeuille-assurance,200,1,/fonctionnalites/gestion-portefeuille-assurance,oui,oui,
/logiciel-relance-devis-assurance,/fonctionnalites/relance-devis-assurance,308,/fonctionnalites/relance-devis-assurance,200,1,/fonctionnalites/relance-devis-assurance,oui,oui,
/logiciel-renouvellement-assurance,/fonctionnalites/renouvellements-assurance,308,/fonctionnalites/renouvellements-assurance,200,1,/fonctionnalites/renouvellements-assurance,oui,oui,
/logiciel-gestion-documents-assurance,/fonctionnalites/gestion-documents-assurance,308,/fonctionnalites/gestion-documents-assurance,200,1,/fonctionnalites/gestion-documents-assurance,oui,oui,
/crm-courtier-independant,/solutions/courtier-assurance-independant,308,/solutions/courtier-assurance-independant,200,1,/solutions/courtier-assurance-independant,oui,oui,
/crm-cabinet-courtage,/solutions/cabinet-courtage-assurance,308,/solutions/cabinet-courtage-assurance,200,1,/solutions/cabinet-courtage-assurance,oui,oui,
/crm-assurance-suisse,/suisse/crm-courtier-assurance,308,/suisse/crm-courtier-assurance,200,1,/suisse/crm-courtier-assurance,oui,oui,
/logiciel-courtier-suisse,/suisse/crm-courtier-assurance,308,/suisse/crm-courtier-assurance,200,1,/suisse/crm-courtier-assurance,oui,oui,
/crm-courtier-geneve,/suisse/geneve,308,/suisse/geneve,200,1,/suisse/geneve,oui,oui,
/crm-courtier-lausanne,/suisse/lausanne,308,/suisse/lausanne,200,1,/suisse/lausanne,oui,oui,
/guides/comment-relancer-devis-assurance,/guides/comment-ne-plus-oublier-relances-courtier,308,/guides/comment-ne-plus-oublier-relances-courtier,200,1,/guides/comment-ne-plus-oublier-relances-courtier,oui,oui,
/guides/comment-organiser-portefeuille-assurance,/guides/organiser-portefeuille-assurance,308,/guides/organiser-portefeuille-assurance,200,1,/guides/organiser-portefeuille-assurance,oui,oui,
/guides/comment-suivre-renouvellements-assurance,/guides/automatiser-renouvellements-assurance,308,/guides/automatiser-renouvellements-assurance,200,1,/guides/automatiser-renouvellements-assurance,oui,oui,
/guides/comment-centraliser-documents-clients-assurance,/guides/centraliser-documents-clients-assurance,308,/guides/centraliser-documents-clients-assurance,200,1,/guides/centraliser-documents-clients-assurance,oui,oui,
/guides/comment-reduire-saisie-courtier,/guides/reduire-saisie-manuelle-courtier,308,/guides/reduire-saisie-manuelle-courtier,200,1,/guides/reduire-saisie-manuelle-courtier,oui,oui,
/guides/comment-suivre-prospects-assurance,/guides/automatiser-suivi-prospects-assurance,308,/guides/automatiser-suivi-prospects-assurance,200,1,/guides/automatiser-suivi-prospects-assurance,oui,oui,
/fr/crm-courtier-assurance,/crm-courtier-assurance,308,/crm-courtier-assurance,200,1,/crm-courtier-assurance,oui,oui,
